Season,Player,Team,Games Played,Win Percentage,Average Scoreboard Position,Shooting Percentage,Assists Per Goal,Goal Participation,Misc Score Per Game,Misc Score Percentage
3,Maestro,,37,62.20%,2.24,25.66%,0.48,55.13%,126.4,49.20%
3,GarrettG,,55,67.30%,1.82,23.37%,0.65,52.99%,141.5,51.90%
3,Jacob,,55,67.30%,2.09,32.09%,0.86,59.70%,129.9,49.50%
3,Ferra,,64,51.60%,2.25,29.24%,0.68,63.16%,109.1,46.30%
3,Turbopolsa,,40,65.00%,1.95,26.27%,0.87,65.91%,129,47.90%
3,Metsanauris,,38,42.10%,2.18,30.21%,0.52,63.77%,127.5,52.80%
3,CorruptedG,,59,45.80%,1.93,33.33%,0.49,63.81%,120.3,50.60%
3,Killerno7,,31,45.20%,2.32,28.75%,0.39,56.14%,116.5,51.70%
3,remkoe,,77,63.60%,1.96,25.11%,0.68,57.83%,134.5,51.10%
3,Chrome,,33,48.50%,2.03,31.58%,0.88,69.23%,120.3,48.10%
3,Insolences,,33,48.50%,1.91,32.43%,0.71,63.08%,152.6,54.80%
3,Pwndx,,22,50.00%,1.95,27.59%,0.81,67.44%,140,52.60%
3,Mijo,,56,50.00%,1.88,28.78%,0.6,58.18%,132.1,52.10%
3,Markydooda,,66,51.50%,2.3,25.00%,0.77,58.45%,115.4,48.30%
3,Turtle,,50,50.00%,2.34,27.34%,0.83,55.17%,111.2,48.60%
3,Sizz,,50,50.00%,1.92,28.33%,0.88,55.17%,131.6,50.60%
3,Espeon,,27,44.40%,1.96,23.08%,0.78,74.42%,114.8,49.40%
3,Snaski,,64,51.60%,1.92,27.81%,0.79,56.39%,129.7,51.70%
3,Sikii,,64,51.60%,1.83,26.11%,0.88,57.89%,134.1,52.30%
3,Deevo,,77,63.60%,1.95,22.69%,0.9,56.02%,149.9,54.90%
3,gReazy,,66,51.50%,1.79,24.42%,0.93,57.04%,149.8,54.70%
3,ViolentPanda,,35,51.40%,1.71,23.91%,1.14,75.81%,156.7,55.00%
3,Lethamyr,,59,45.80%,1.88,22.22%,0.53,52.38%,129.2,53.70%
3,al0t,,38,42.10%,2.16,24.73%,0.65,55.07%,122.7,53.20%
3,miztik,,79,54.40%,1.91,22.49%,0.89,58.94%,136.2,53.50%
3,Chausette45,,35,51.40%,2.09,22.99%,0.65,53.23%,115.4,49.60%
3,paschy90,,35,51.40%,2.2,27.03%,0.7,54.84%,128.6,55.70%
3,Vince,,27,44.40%,1.74,22.39%,0.67,58.14%,128.5,53.00%
3,Klassux,,33,48.50%,2.06,20.73%,0.59,41.54%,128.9,54.10%
3,Fairy Peak,,79,54.40%,2.16,22.10%,0.95,51.66%,130.3,54.90%
3,FreaKii,,31,45.20%,1.65,17.07%,1.5,61.40%,151.9,52.50%
3,DanzhizzLe,,29,34.50%,2.03,19.70%,0.92,50.00%,110.3,52.80%
3,Mognus,,38,42.10%,1.66,15.89%,1.41,59.42%,156.8,56.30%
3,MummiSnow,,9,33.30%,2.22,22.22%,0.75,50.00%,114.4,51.50%
3,Rizzo,,34,50.00%,2.21,17.44%,1.07,43.66%,118.2,49.90%
3,Halcyon,,25,16.00%,2,20.37%,0.64,69.23%,108.4,53.20%
3,Timi,,56,50.00%,2.29,19.33%,1.13,44.55%,127.7,57.60%
3,SadJunior,,59,45.80%,2.19,18.90%,1.29,52.38%,107.8,51.30%
3,Zensuz,,29,34.50%,2,17.74%,1.18,48.00%,127.2,54.50%
3,Zanejackey,,27,44.40%,2.3,23.81%,0.9,44.19%,123,59.00%
3,Lemonpuppy,,25,16.00%,2.24,23.08%,0.33,46.15%,112.2,58.90%
3,Memory,,19,21.10%,1.53,15.63%,1.6,56.52%,151.1,55.50%
3,Pluto,,8,50.00%,2.38,15.38%,3,66.67%,131.9,63.00%
3,ColemanA,,6,0.00%,2.5,14.29%,0,33.33%,77.5,53.40%
